user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561198388779641,https://steamcommunity.com/profiles/76561198388779641/,部落勇士琳大宝,"Jiangxi, China",0-20,7,None,-1,None,-1,0
17665470526,https://steamcommunity.com/id/17665470526/,KXHAD,China,100-200,116,None,-1,None,-1,2
90010116,https://steamcommunity.com/id/90010116/,ALX,Iceland,50-100,61,50-100,59,100-500,163,0
1171354851,https://steamcommunity.com/id/1171354851/,ainysys88,Hong Kong,0-20,12,0-20,10,50-100,67,0
nagisa98,https://steamcommunity.com/id/nagisa98/,Boombl4の电击枪,,20-50,23,0-20,14,100-500,168,0
76561198216564597,https://steamcommunity.com/profiles/76561198216564597/,天降正。。啊！,,0-20,8,None,-1,None,-1,0
bin8664520,https://steamcommunity.com/id/bin8664520/,Bacon Boy,"Xining, Qinghai, China",20-50,49,20-50,37,100-500,436,0
76561198096652230,https://steamcommunity.com/profiles/76561198096652230/,请LGD战队挑选。。。。？,"Chongqing, China",0-20,15,0-20,16,100-500,130,0
76561198201147297,https://steamcommunity.com/profiles/76561198201147297/,Aijo Karen,"Fushun, Liaoning, China",0-20,10,0-20,5,100-500,131,0
76561199125075728,https://steamcommunity.com/profiles/76561199125075728/,NiKo,,,-1,None,-1,None,-1,0
76561198839919703,https://steamcommunity.com/profiles/76561198839919703/,寻灯猎犬椎名立希,,0-20,7,0-20,4,50-100,78,0
76561198211167268,https://steamcommunity.com/profiles/76561198211167268/,Luciusasd,"Kunming, Yunnan, China",0-20,10,None,-1,None,-1,0
76561197993596131,https://steamcommunity.com/profiles/76561197993596131/,peter,,20-50,26,None,-1,None,-1,0
xiuju,https://steamcommunity.com/id/xiuju/,鈴原るる大好き,,20-50,22,0-20,14,100-500,154,0
x59x45x,https://steamcommunity.com/id/x59x45x/,银灵子,"Shandong, China",100-200,140,100-500,194,1000-2000,1027,1
CHTHOR,https://steamcommunity.com/id/CHTHOR/,SophiaLillis,"Portland, Maine, United States",50-100,51,50-100,53,100-500,356,0
76561198362122370,https://steamcommunity.com/profiles/76561198362122370/,划水,,0-20,4,None,-1,None,-1,0
helamon,https://steamcommunity.com/id/helamon/,我二弟天下无敌,"Shanghai, Shanghai, China",0-20,13,0-20,7,20-50,35,0
1668149766,https://steamcommunity.com/id/1668149766/,袁雨桢,Hong Kong,0-20,17,0-20,17,100-500,368,0
76561198415870282,https://steamcommunity.com/profiles/76561198415870282/,见过水星,,0-20,6,0-20,4,0-20,10,0
76561198432774185,https://steamcommunity.com/profiles/76561198432774185/,🌈,"California, United States",50-100,79,None,-1,None,-1,0
76561199542056182,https://steamcommunity.com/profiles/76561199542056182/,不做梵高,,0-20,3,None,-1,None,-1,0
76561199042624704,https://steamcommunity.com/profiles/76561199042624704/,zzzzz,,0-20,4,0-20,4,0-20,6,0
76561198100760749,https://steamcommunity.com/profiles/76561198100760749/,Ashvril,,20-50,43,0-20,9,100-500,154,0
mabingchen,https://steamcommunity.com/id/mabingchen/,Fourteen is forty,China,0-20,16,0-20,16,100-500,150,0
76561198802880683,https://steamcommunity.com/profiles/76561198802880683/,hiDaniel,"Shanghai, Shanghai, China",50-100,75,50-100,54,100-500,238,0
Hzomelet,https://steamcommunity.com/id/Hzomelet/,吗喽大王,,50-100,68,20-50,24,100-500,212,0
76561198326925056,https://steamcommunity.com/profiles/76561198326925056/,千本,China,0-20,17,0-20,11,100-500,139,0
