用户链接,用户名,用户游戏国籍,用户等级,用户持有徽章数,用户持有游戏数,用户持有成就数
https://steamcommunity.com/id/bluephoenixfly/,bluephoenix150（小星）,"Changsha, Hunan, China",253,"1,908","9,391",
https://steamcommunity.com/profiles/76561198986853675/,旺巾,China,17,19,63,
https://steamcommunity.com/id/48f7ad1d57ad84/,韩佳人,China,9,4,32,
https://steamcommunity.com/profiles/76561198378768080/,white,"Pingdingshan, Henan, China",7,5,26,
https://steamcommunity.com/profiles/76561198069194324/,seom,"Guilin, Guangxi, China",9,,,
https://steamcommunity.com/profiles/76561198930258956/,还在嘴硬,"Yunnan, China",13,,,
https://steamcommunity.com/profiles/76561198356110345/,Jack12370,China,110,113,359,359
https://steamcommunity.com/profiles/76561198129308801/,无心,China,63,32,"1,545",4
https://steamcommunity.com/id/K1mmy0201/,K1mmy^,,14,8,59,
https://steamcommunity.com/profiles/76561198148937359/,板边睡觉高高手,,27,12,243,
https://steamcommunity.com/profiles/76561198849578455/,带师兄孙笑川,,9,6,67,
https://steamcommunity.com/id/a1950901217/,果果牛,,,,,
https://steamcommunity.com/profiles/76561199385507204/,Tuksey,China,3,3,23,
https://steamcommunity.com/profiles/76561199055679366/,天堂烤肉,,11,,,
https://steamcommunity.com/profiles/76561198002696497/,小疯,,11,7,81,
https://steamcommunity.com/profiles/76561199117880800/,zizu,,,,,
https://steamcommunity.com/profiles/76561198372559603/,给你说不得行,,8,4,92,
https://steamcommunity.com/id/4698775/,Aras7Krtom,"Beijing, China",55,37,191,1
https://steamcommunity.com/profiles/76561198323852317/,Newoustain,,8,6,37,
https://steamcommunity.com/profiles/76561198958269253/,Sokira,,54,14,162,
https://steamcommunity.com/profiles/76561198361163351/,战车里的豪杰,China,33,35,171,
https://steamcommunity.com/profiles/76561199525988728/,小冰棍,,10,9,28,
https://steamcommunity.com/profiles/76561198317581821/,葬花花和尚。,China,12,11,172,25%
https://steamcommunity.com/profiles/76561199027255986/,Leon ist hier,,4,,,
https://steamcommunity.com/profiles/76561198271236678/,Pait.,"Shantou, Guangdong, China",10,7,109,3
https://steamcommunity.com/id/330781/,香芋地瓜粥,China,52,38,175,
https://steamcommunity.com/id/HHHTHOT/,五里营小地主,China,50,47,34,
https://steamcommunity.com/profiles/76561199139824077/,珊迪来自德克萨斯,,7,7,50,
https://steamcommunity.com/profiles/76561198858501968/,CASTIEL,,7,,,
https://steamcommunity.com/profiles/76561199383944641/,LIUCCY,,,,,
https://steamcommunity.com/id/tutle1985/,刘美工Tutle,"Shenzhen, Guangdong, China",24,25,449,
https://steamcommunity.com/profiles/76561199493539892/,梵诺·夏德,,2,,,
https://steamcommunity.com/id/ghostvast/,白小,,28,33,203,
https://steamcommunity.com/profiles/76561198368245379/,happbo,China,11,,,
